ID,都道府県,市区町村,市区町村名,種別,人口,議員定数,定数条例等の適用年月,議員実数,議長報酬月額,副議長報酬月額,議員報酬月額,期末手当支給率3月,期末手当支給率6月,期末手当支給率12月,期末手当支給率合計,期末手当加算率,備考,議員報酬年額試算,定数分報酬月額,定数分報酬年額試算,人口あたり報酬月額,人口あたり定数分報酬月額,人口あたり定数分報酬年額,市区町村2016,種別2016,人口2016,議員定数2016,定数条例等の適用年月2016,議員実数2016,議長報酬月額2016,副議長報酬月額2016,議員報酬月額2016,期末手当支給率3月2016,期末手当支給率6月2016,期末手当支給率12月2016,期末手当支給率合計2016,期末手当加算率2016,備考2016,議員報酬年額試算2016,定数分報酬月額2016,定数分報酬年額試算2016,人口あたり報酬月額2016,人口あたり定数分報酬月額2016
11,北海道,網走市,北海道網走市,一般市,"35,701",16,2015年4月,15,"471,000","415,000","380,000",0,212.5,227.5,440,10,," 6,399,200 "," 6,206,000 "," 104,509,040 ",10.6,173.8,"2,927.3",網走市,市区,"36,907",16,2015年4月,16,"471,000","415,000","380,000",0,202.5,217.5,420,10,," 6,315,600 "," 6,206,000 "," 104,965,272 ",10.3,168.2
12,北海道,留萌市,北海道留萌市,一般市,"21,312",16,2007年4月,15,"380,000","340,000","310,000",0,215.0,230.0,445,0,," 5,099,500 "," 5,060,000 "," 83,237,000 ",14.5,237.4,"3,905.6",留萌市,市区,"22,139",16,2007年4月,16,"380,000","340,000","310,000",0,202.5,227.5,430,0,," 5,053,000 "," 5,060,000 "," 82,363,900 ",14.0,228.6
13,北海道,苫小牧市,北海道苫小牧市,一般市,"171,811",28,2015年4月,28,"520,000","480,000","440,000",0,215,230,445,15,," 7,531,700 "," 12,440,000 "," 212,941,700 ",2.6,72.4,"1,239.4",苫小牧市,市区,"173,135",28,2015年4月,26,"520,000","480,000","440,000",0,210,225,435,15,," 7,481,100 "," 12,440,000 "," 127,197,403 ",2.5,71.9
14,北海道,稚内市,北海道稚内市,一般市,"34,249",18,2015年4月,16,"409,000","371,000","339,000",0,212.5,232.5,445,15,," 5,802,833 "," 6,204,000 "," 106,196,970 ",9.9,181.1,"3,100.7",稚内市,市区,"35,490",18,2015年4月,17,"409,000","371,000","339,000",0,202.5,227.5,430,15,," 5,744,355 "," 6,204,000 "," 97,338,095 ",9.6,174.8
15,北海道,美唄市,北海道美唄市,一般市,"21,602",14,2011年4月,13,"409,000","351,000","323,000",0,213,233,445,15,," 5,528,953 "," 4,636,000 "," 79,356,730 ",15.0,214.6,"3,673.6",美唄市,市区,"22,724",14,2011年4月,14,"409,000","351,000","323,000",0,191,216,407,0,," 5,190,610 "," 4,636,000 "," 83,413,103 ",14.2,204.0
16,北海道,芦別市,北海道芦別市,一般市,"13,635",12,2011年4月,12,"370,000","321,000","300,000",0,210,225,435,0,," 4,905,000 "," 3,691,000 "," 60,347,850 ",22.0,270.7,"4,426.0",芦別市,市区,"14,512",12,2010年11月,11,"385,000","336,000","315,000",0,200,225,425,0,," 5,118,750 "," 3,871,000 "," 83,179,688 ",21.7,266.7
17,北海道,江別市,北海道江別市,一般市,"118,985",27,2007年4月,26,"456,000","407,000","378,000",0,222.5,222.5,445,15,," 6,470,415 "," 10,313,000 "," 176,532,778 ",3.2,86.7,"1,483.7",江別市,市区,"119,182",27,2007年4月,27,"456,000","407,000","378,000",0,202.5,227.5,430,15,," 6,405,210 "," 10,313,000 "," 108,536,283 ",3.2,86.5
18,北海道,赤平市,北海道赤平市,一般市,"10,186",10,2007年4月,8,"357,000","308,000","284,000",0,212.5,232.5,445,0,," 4,671,800 "," 2,937,000 "," 48,313,650 ",27.9,288.3,"4,743.1",赤平市,市区,"10,772",10,2007年4月,10,"357,000","308,000","284,000",0,207.5,222.5,430,0,," 4,629,200 "," 2,937,000 "," 75,455,960 ",26.4,272.7
19,北海道,紋別市,北海道紋別市,一般市,"22,041",16,2014年7月,16,"440,000","400,000","360,000",0,212.5,232.5,445,15,," 6,162,300 "," 5,880,000 "," 100,650,900 ",16.3,266.8,"4,566.5",紋別市,市区,"22,869",16,2014年7月,16,"440,000","400,000","360,000",0,202.5,227.5,430,15,," 6,100,200 "," 5,880,000 "," 103,367,889 ",15.7,257.1
20,北海道,士別市,北海道士別市,一般市,"18,965",17,2014年4月,17,"380,000","334,000","310,000",0,222.5,222.5,445,0,," 5,099,500 "," 5,364,000 "," 88,237,800 ",16.3,282.8,"4,652.7",士別市,市区,"19,699",17,2014年4月,17,"380,000","334,000","310,000",0,202.5,227.5,430,0,," 5,053,000 "," 5,364,000 "," 82,363,900 ",15.7,272.3
21,北海道,名寄市,北海道名寄市,一般市,"27,569",18,2015年4月,18,"384,000","336,000","310,000",0,212.5,232.5,445,0,," 5,099,500 "," 5,680,000 "," 93,436,000 ",11.2,206.0,"3,389.2",名寄市,市区,"28,280",18,2015年4月,18,"384,000","336,000","310,000",0,207.5,222.5,430,0,," 5,053,000 "," 5,680,000 "," 82,363,900 ",11.0,200.8
22,北海道,三笠市,北海道三笠市,一般市,"8,562",10,2011年4月,9,"340,000","295,000","270,000",0,212.5,232.5,445,10,," 4,561,650 "," 2,795,000 "," 47,221,525 ",31.5,326.4,"5,515.2",三笠市,市区,"9,001",10,2011年4月,9,"340,000","295,000","270,000",0,202.5,227.5,430,10,," 4,517,100 "," 2,795,000 "," 75,571,083 ",30.0,310.5
